Date,Confirmed,Recovered,Deaths,Day_deaths,Day_confirmed,Day_recovered,Rt,Rt2,Rate_conf,Rate_ill,Region,Remaining_ill,MA7_dayconfirmed,MA14_dayconfirmed,MA7_remaining_ill,MA14_remaining_ill,Change_dayconf,Change_remill
2020-06-07,1025,577,10,0,30,37,1.33,1.113,0.21917023219215134,0.18631717308354923,Адыгея,438,24.428571428571427,25.285714285714285,446.7142857142857,443.07142857142856,-3,-7
2020-06-08,1069,606,10,0,44,29,1.59,1.124,0.22426981189867787,0.18875078646161025,Адыгея,453,27.857142857142858,26.642857142857142,444.14285714285717,447.42857142857144,14,15
2020-06-09,1115,618,10,0,46,12,1.739,1.138,0.22977704413986105,0.20573350118708653,Адыгея,487,32.142857142857146,28.142857142857142,446.85714285714283,452.7857142857143,2,34
2020-06-10,1158,651,12,2,43,33,1.552,1.15,0.23457582896626605,0.2110730184720872,Адыгея,495,36.285714285714285,28.5,456.14285714285717,456.5,-3,8
2020-06-11,1213,674,12,0,55,23,1.554,1.162,0.2414237833276278,0.22449031752387605,Адыгея,527,39.42857142857143,30.714285714285715,468.42857142857144,461.85714285714283,12,32
2020-06-12,1251,708,12,0,38,34,1.379,1.169,0.24461160331076232,0.2256329194605206,Адыгея,531,41.285714285714285,32.642857142857146,482.2857142857143,467.42857142857144,-17,4
2020-06-13,1278,752,12,0,27,44,1.065,1.166,0.24570827621609254,0.21537004680317942,Адыгея,514,40.42857142857143,33.214285714285715,492.14285714285717,472.0,-11,-17
2020-06-14,1311,771,12,0,33,19,0.939,1.157,0.24784295339569423,0.21821247613301042,Адыгея,528,40.857142857142854,32.642857142857146,505.0,475.85714285714283,6,14
2020-06-15,1340,796,12,0,29,25,0.676,1.137,0.24943690549319633,0.21663001873116702,Адыгея,532,38.714285714285715,33.285714285714285,516.2857142857143,480.2142857142857,-4,4
2020-06-16,1389,817,12,0,49,21,0.758,1.123,0.2546483872268809,0.2296324240982827,Адыгея,560,39.142857142857146,35.642857142857146,526.7142857142857,486.7857142857143,20,28
2020-06-17,1415,858,12,0,26,41,0.84,1.113,0.2557378352831461,0.22569063404574272,Адыгея,545,36.714285714285715,36.5,533.8571428571429,495.0,-23,-15
2020-06-18,1446,896,12,0,31,38,0.882,1.106,0.2577122071107895,0.22466467335927973,Адыгея,538,33.285714285714285,36.357142857142854,535.4285714285714,501.92857142857144,5,-7
2020-06-19,1484,917,12,0,38,21,1.134,1.107,0.26077956219258674,0.2343591649212891,Адыгея,555,33.285714285714285,37.285714285714285,538.8571428571429,510.57142857142856,7,17
2020-06-20,1511,946,12,0,27,29,0.884,1.101,0.26189353707067486,0.23596378190631428,Адыгея,553,33.285714285714285,36.857142857142854,544.4285714285714,518.2857142857143,-11,-2
2020-06-21,1541,987,12,0,30,41,0.92,1.097,0.2635629746185948,0.22882908747012978,Адыгея,542,32.857142857142854,36.857142857142854,546.4285714285714,525.7142857142857,3,-11
2020-06-22,1569,1002,12,0,28,15,0.911,1.092,0.2649084892280678,0.23158000150214056,Адыгея,555,32.714285714285715,35.714285714285715,549.7142857142857,533.0,-2,13
2020-06-23,1607,1028,12,0,38,26,0.854,1.086,0.2679650828323926,0.24136184269337682,Адыгея,567,31.142857142857142,35.142857142857146,550.7142857142857,538.7142857142857,10,12
2020-06-24,1647,1096,12,0,40,68,1.115,1.087,0.2713876361263576,0.2348113232206181,Адыгея,539,33.142857142857146,34.92857142857143,549.8571428571429,541.8571428571429,2,-28
2020-06-25,1682,1119,12,0,35,23,1.119,1.087,0.2739440450558149,0.23933108915191662,Адыгея,551,33.714285714285715,33.5,551.7142857142857,543.5714285714286,-5,12
2020-06-26,1712,1149,12,0,30,30,1.163,1.089,0.27577586123577225,0.24181408841355037,Адыгея,551,32.57142857142857,32.92857142857143,551.1428571428571,545.0,-5,0
2020-06-27,1746,1182,12,0,34,33,1.13,1.09,0.2781822874677764,0.24497947409297682,Адыгея,552,33.57142857142857,33.42857142857143,551.0,547.7142857142857,4,1
2020-06-28,1795,1239,12,0,49,57,1.088,1.09,0.2829280133409621,0.24041329874445921,Адыгея,544,36.285714285714285,34.57142857142857,551.2857142857143,548.8571428571429,15,-8
2020-06-29,1847,1291,12,0,52,52,1.17,1.091,0.2880734173898396,0.23801190059502975,Адыгея,544,39.714285714285715,36.214285714285715,549.7142857142857,549.7142857142857,3,0
2020-06-30,1898,1302,14,2,51,11,1.301,1.096,0.2929695036960773,0.25766007464173296,Адыгея,582,41.57142857142857,36.357142857142854,551.8571428571429,551.2857142857143,-1,38
2020-07-01,1935,1340,14,0,37,38,1.36,1.101,0.2956884498131891,0.2617848227883463,Адыгея,581,41.142857142857146,37.142857142857146,557.8571428571429,553.8571428571429,-14,-1
2020-07-02,1981,1363,14,0,46,23,1.257,1.105,0.29962263580195564,0.27145579405314063,Адыгея,604,42.714285714285715,38.214285714285715,565.4285714285714,558.5714285714286,9,23
2020-07-03,2039,1414,14,0,58,51,1.164,1.106,0.3052929929343912,0.27756199717440977,Адыгея,611,46.714285714285715,39.642857142857146,574.0,562.5714285714286,12,7
2020-07-04,2068,1439,14,0,29,25,0.914,1.101,0.30659066143821856,0.28261698734886886,Адыгея,615,46.0,39.785714285714285,583.0,567.0,-29,4
2020-07-05,2094,1471,14,0,26,32,0.841,1.095,0.3073756955953092,0.2763910320413906,Адыгея,609,42.714285714285715,39.5,592.2857142857143,571.7857142857143,-3,-6
2020-07-06,2121,1502,14,0,27,31,0.753,1.086,0.308346732338754,0.2710124217759601,Адыгея,605,39.142857142857146,39.42857142857143,601.0,575.3571428571429,1,-4
2020-07-07,2145,1546,14,0,24,44,0.552,1.073,0.3089754116071043,0.2660832544938505,Адыгея,585,35.285714285714285,38.42857142857143,601.4285714285714,576.6428571428571,-3,-20
2020-07-08,2167,1601,14,0,22,55,0.582,1.063,0.3092215664562381,0.253660150541785,Адыгея,552,33.142857142857146,37.142857142857146,597.2857142857143,577.5714285714286,-2,-33
2020-07-09,2187,1626,14,0,20,25,0.585,1.054,0.30920357810889565,0.25425068094560804,Адыгея,547,29.428571428571427,36.07142857142857,589.1428571428571,577.2857142857143,-2,-5
2020-07-10,2205,1671,14,0,18,45,0.6,1.046,0.3088512135541561,0.24315995716643832,Адыгея,520,23.714285714285715,35.214285714285715,576.1428571428571,575.0714285714286,-2,-27
2020-07-11,2224,1701,14,0,19,30,0.745,1.042,0.3086543972842854,0.24021217955978405,Адыгея,509,22.285714285714285,34.142857142857146,561.0,572.0,1,-11
2020-07-12,2242,1734,14,0,18,33,0.758,1.039,0.30832194201567187,0.23001778680051777,Адыгея,494,21.142857142857142,31.928571428571427,544.5714285714286,568.4285714285714,-1,-15
2020-07-13,2258,1740,14,0,16,6,0.763,1.036,0.3077556327594831,0.23093947461269526,Адыгея,504,19.571428571428573,29.357142857142858,530.1428571428571,565.5714285714286,-2,10
2020-07-14,2275,1785,14,0,17,45,0.833,1.034,0.3074544528189181,0.2208734710544388,Адыгея,476,18.571428571428573,26.928571428571427,514.5714285714286,558.0,1,-28
2020-07-15,2291,1843,14,0,16,58,0.848,1.032,0.3069527271363093,0.20534658149988172,Адыгея,434,17.714285714285715,25.428571428571427,497.7142857142857,547.5,-1,-42
2020-07-16,2308,1868,16,2,17,25,0.88,1.031,0.3065899571863331,0.20270787118488487,Адыгея,424,17.285714285714285,23.357142857142858,480.14285714285717,534.6428571428571,1,-10
2020-07-17,2326,1882,16,0,18,14,0.958,1.03,0.3063739210724931,0.20605949727260034,Адыгея,428,17.285714285714285,20.5,467.0,521.5714285714286,1,4
2020-07-18,2344,1891,16,0,18,9,0.986,1.03,0.30623029720277434,0.21179971598482022,Адыгея,437,17.142857142857142,19.714285714285715,456.7142857142857,508.85714285714283,0,9
2020-07-19,2364,1901,16,0,20,10,1.09,1.03,0.3063978038898523,0.21401896006894572,Адыгея,447,17.428571428571427,19.285714285714285,450.0,497.2857142857143,2,10
2020-07-20,2384,1910,16,0,20,9,1.152,1.031,0.30662931551179057,0.2165924987113219,Адыгея,458,18.0,18.785714285714285,443.42857142857144,486.7857142857143,0,11
2020-07-21,2411,1930,16,0,27,20,1.25,1.033,0.3077893296294783,0.2231671497955501,Адыгея,465,19.428571428571427,19.0,441.85714285714283,478.2142857142857,7,7
2020-07-22,2436,1944,17,1,25,14,1.333,1.035,0.30867091574905914,0.23239657129437552,Адыгея,475,20.714285714285715,19.214285714285715,447.7142857142857,472.7142857142857,-2,10
2020-07-23,2470,1974,18,1,34,30,1.452,1.038,0.31067697393080584,0.2368494073809807,Адыгея,478,23.142857142857142,20.214285714285715,455.42857142857144,467.7857142857143,9,3
2020-07-24,2496,1978,18,0,26,4,1.474,1.042,0.31166924101796967,0.25121967150515756,Адыгея,500,24.285714285714285,20.785714285714285,465.7142857142857,466.35714285714283,-8,22
2020-07-25,2530,2008,18,0,34,30,1.4,1.045,0.3136156287187624,0.2566348249383873,Адыгея,504,26.571428571428573,21.857142857142858,475.2857142857143,466.0,8,4
2020-07-26,2568,2023,20,2,38,15,1.435,1.049,0.3160673735515117,0.263864177799222,Адыгея,525,29.142857142857142,23.285714285714285,486.42857142857144,468.2142857142857,4,21
2020-07-27,2604,2032,20,0,36,9,1.264,1.051,0.31829071529848924,0.27403108664247383,Адыгея,552,31.428571428571427,24.714285714285715,499.85714285714283,471.64285714285717,-2,27
2020-07-28,2642,2043,20,0,38,11,1.304,1.054,0.3208199000625368,0.29272879864909956,Адыгея,579,33.0,26.214285714285715,516.1428571428571,479.0,2,27
2020-07-29,2679,2070,20,0,37,27,1.252,1.056,0.3231643325009952,0.3020760677799204,Адыгея,589,34.714285714285715,27.714285714285715,532.4285714285714,490.07142857142856,-1,10
2020-07-30,2714,2081,20,0,35,11,1.106,1.057,0.3252250751648594,0.32087185016907277,Адыгея,613,34.857142857142854,29.0,551.7142857142857,503.57142857142856,-2,24
2020-07-31,2747,2112,20,0,33,31,1.067,1.057,0.32703120665824587,0.3278111807598823,Адыгея,615,35.857142857142854,30.071428571428573,568.1428571428571,516.9285714285714,-2,2
2020-08-01,2775,2130,20,0,28,18,0.911,1.055,0.328230288736201,0.33809186361644694,Адыгея,625,35.0,30.785714285714285,585.4285714285714,530.3571428571429,-5,10
2020-08-02,2803,2137,20,0,28,7,0.832,1.052,0.3294275271193014,0.3462525928744861,Адыгея,646,33.57142857142857,31.357142857142858,602.7142857142857,544.5714285714286,0,21
2020-08-03,2830,2155,20,0,27,18,0.795,1.049,0.33050554501882595,0.34754648102555397,Адыгея,655,32.285714285714285,31.857142857142858,617.4285714285714,558.6428571428571,-1,9
2020-08-04,2855,2164,21,1,25,9,0.755,1.045,0.3314283458881409,0.3609894343241685,Адыгея,670,30.428571428571427,31.714285714285715,630.4285714285714,573.2857142857143,-2,15
2020-08-05,2880,2180,21,0,25,16,0.789,1.042,0.3323229024713054,0.37081333180420617,Адыгея,679,28.714285714285715,31.714285714285715,643.2857142857143,587.8571428571429,0,9
2020-08-06,2906,2207,21,0,26,27,0.831,1.039,0.3332973962431213,0.3747284876555151,Адыгея,678,27.428571428571427,31.142857142857142,652.5714285714286,602.1428571428571,1,-1
2020-08-07,2930,2254,21,0,24,47,0.862,1.037,0.3340420801815,0.3662942209397264,Адыгея,655,26.142857142857142,31.0,658.2857142857143,613.2142857142857,-2,-23
2020-08-08,2955,2288,21,0,25,34,0.926,1.036,0.33490225500851706,0.36438297440294215,Адыгея,646,25.714285714285715,30.357142857142858,661.2857142857143,623.3571428571429,1,-9
2020-08-09,2975,2288,21,0,20,0,0.905,1.035,0.3351976708550414,0.37168704620416,Адыгея,666,24.571428571428573,29.071428571428573,664.1428571428571,633.4285714285714,-5,20
2020-08-10,2995,2319,21,0,20,31,0.864,1.033,0.3355163366769207,0.36193444289724375,Адыгея,655,23.571428571428573,27.928571428571427,664.1428571428571,640.7857142857143,0,-11
2020-08-11,3016,2378,21,0,21,59,0.86,1.032,0.3360075044646886,0.34412944175176946,Адыгея,617,23.0,26.714285714285715,656.5714285714286,643.5,1,-38
2020-08-12,3035,2443,22,1,19,65,0.8,1.03,0.33621320902491525,0.321773934053279,Адыгея,570,22.142857142857142,25.428571428571427,641.0,642.1428571428571,-2,-47
2020-08-13,3055,2479,22,0,20,36,0.842,1.028,0.3365434399917159,0.3148120787825751,Адыгея,554,21.285714285714285,24.357142857142858,623.2857142857143,637.9285714285714,1,-16
2020-08-14,3076,2502,22,0,21,23,0.91,1.028,0.33697660992328193,0.31658455732646634,Адыгея,552,20.857142857142858,23.5,608.5714285714286,633.4285714285714,1,-2
2020-08-15,3095,2538,23,1,19,36,0.919,1.027,0.3371885772058343,0.30892766233165175,Адыгея,534,20.0,22.857142857142858,592.5714285714286,626.9285714285714,-2,-18
2020-08-16,3113,2538,23,0,18,0,0.975,1.026,0.3373234957246712,0.3168771526980482,Адыгея,552,19.714285714285715,22.142857142857142,576.2857142857143,620.2142857142857,-1,18
2020-08-17,3129,2583,23,0,16,45,0.925,1.026,0.33726940053570753,0.29732126614517007,Адыгея,523,19.142857142857142,21.357142857142858,557.4285714285714,610.7857142857143,-2,-29
2020-08-18,3144,2605,24,1,15,22,0.84,1.025,0.3371607079087993,0.2959889190944463,Адыгея,515,18.285714285714285,20.642857142857142,542.8571428571429,599.7142857142857,-1,-8
2020-08-19,3161,2629,24,0,17,24,0.835,1.023,0.33723772325596035,0.2955051800661978,Адыгея,508,18.0,20.071428571428573,534.0,587.5,2,-7
2020-08-20,3179,2654,24,0,18,25,0.846,1.022,0.3374354902739182,0.2938519830609875,Адыгея,501,17.714285714285715,19.5,526.4285714285714,574.8571428571429,1,-7
2020-08-21,3195,2673,25,1,16,19,0.892,1.021,0.33738975433379514,0.2932897431206737,Адыгея,497,17.0,18.928571428571427,518.5714285714286,563.5714285714286,-2,-4
2020-08-22,3214,2694,25,0,19,21,1.029,1.021,0.33764157256509897,0.29445006245910416,Адыгея,495,17.0,18.5,513.0,552.7857142857143,3,-2
2020-08-23,3234,2718,25,0,20,24,1.106,1.022,0.33801968959465856,0.28928809205370976,Адыгея,491,17.285714285714285,18.5,504.2857142857143,540.2857142857143,1,-4
2020-08-24,3254,2741,25,0,20,23,1.136,1.023,0.33843200106501037,0.28380343123000873,Адыгея,488,17.857142857142858,18.5,499.2857142857143,528.3571428571429,0,-3
2020-08-25,3273,2762,26,1,19,21,1.182,1.023,0.3387535978985478,0.2855057277747036,Адыгея,485,18.428571428571427,18.357142857142858,495.0,518.9285714285714,-1,-3
2020-08-26,3291,2786,26,0,18,24,1.1,1.024,0.338976067733413,0.2850647495715102,Адыгея,479,18.571428571428573,18.285714285714285,490.85714285714283,512.4285714285714,-1,-6
2020-08-27,3308,2803,26,0,17,17,1.014,1.024,0.3390817322279351,0.2881879057342775,Адыгея,479,18.428571428571427,18.071428571428573,487.7142857142857,507.07142857142856,-1,0
2020-08-28,3327,2822,27,1,19,19,0.973,1.023,0.33934955452083576,0.28965308286623237,Адыгея,478,18.857142857142858,17.928571428571427,485.0,501.7857142857143,2,-1
2020-08-29,3346,2846,27,0,19,24,0.936,1.023,0.3395761488857721,0.288523710183118,Адыгея,473,18.857142857142858,17.928571428571427,481.85714285714283,497.42857142857144,0,-5
2020-08-30,3364,2846,27,0,18,0,0.948,1.022,0.33968612355931277,0.2953365694040938,Адыгея,491,18.571428571428573,17.928571428571427,481.85714285714283,493.07142857142856,-1,18
2020-08-31,3386,2884,27,0,22,38,1.054,1.023,0.34019244081545713,0.28147147360686436,Адыгея,475,18.857142857142858,18.357142857142858,480.0,489.64285714285717,4,-16
