"Страна","Дата","Заражений","Выздоровлений","Смертей","Заражений за день","Выздоровлений за день","Смертей за день"
Гана,24.03.2020,53,0,2,26,0,0
ДР Конго,07.06.2020,4016,537,85,138,0,3
Люксембург,01.11.2020,17134,10081,152,0,0,0
Габон,29.02.2020,0,0,0,0,0,0
Гайана,09.01.2021,6541,6019,167,72,29,0
Буркина-Фасо,30.03.2020,246,31,12,24,8,0
Зимбабве,18.12.2020,12047,9894,316,181,58,2
Ливан,29.12.2020,175118,125473,1430,2298,1239,21
Дания,01.02.2020,0,0,0,0,0,0
ЮАР,09.02.2020,0,0,0,0,0,0
Молдавия,23.12.2020,138213,122614,2825,1282,1212,22
Оман,18.05.2020,5379,1496,25,193,31,3
Боливия,20.08.2020,106065,41111,4305,1015,1146,72
Сент-Винсент и Гренадины,20.10.2020,68,64,0,1,0,0
Экваториальная Гвинея,21.11.2020,5130,4975,85,9,0,0
Андорра,08.09.2020,1261,934,53,0,0,0
Босния и Герцеговина,20.08.2020,17029,10881,515,338,170,8
Гватемала,12.12.2020,129099,117615,4405,558,602,29
Чили,11.02.2020,0,0,0,0,0,0
Лесото,03.10.2020,1680,926,39,0,0,0
Иран,24.09.2020,436319,367829,25015,3521,1983,175
Сербия,13.12.2020,266432,0,2331,4995,0,56
Чад,09.04.2020,11,2,0,1,0,0
Малайзия,09.06.2020,8336,6975,117,7,281,0
Кот-д’Ивуар,30.04.2020,1275,574,14,37,17,0
Сингапур,27.09.2020,57700,57367,27,15,8,0
Сан-Томе и Принсипи,10.02.2020,0,0,0,0,0,0
Бенин,23.12.2020,3205,3061,44,38,0,0
Marshall Islands,19.05.2020,0,0,0,0,0,0
Россия,13.02.2020,2,2,0,0,0,0
Аргентина,02.12.2020,1440103,1268358,39156,7533,5107,228
Багамские острова,02.05.2020,83,24,11,2,0,0
Узбекистан,26.06.2020,7427,5038,20,250,161,0
Коста-Рика,02.03.2020,0,0,0,0,0,0
Мозамбик,22.01.2021,30848,19858,290,623,348,7
Никарагуа,24.12.2020,5991,4225,164,0,0,0
Кувейт,17.05.2020,14850,4093,112,1048,250,5
Бангладеш,20.08.2020,287959,168991,3822,2868,3253,41
Антигуа и Барбуда,24.07.2020,82,60,3,6,2,0
Самоа,23.11.2020,1,0,0,0,0,0
Восточный Тимор,25.08.2020,26,25,0,0,0,0
Финляндия,05.03.2020,12,1,0,6,0,0
Сенегал,31.08.2020,13611,9439,284,55,51,0
Филиппины,31.08.2020,220819,157562,3558,3423,159,38
ЦАР,19.09.2020,4786,1830,62,0,0,0
Ирак,05.02.2020,0,0,0,0,0,0
Гамбия,19.07.2020,93,49,4,0,0,0
Венгрия,02.10.2020,28631,6349,798,1322,231,17
Намибия,24.10.2020,12579,10775,133,78,27,0
Перу,02.12.2020,963605,896978,35966,0,3917,0
Тринидад и Тобаго,29.06.2020,126,109,8,0,0,0
Ливан,13.03.2020,77,1,3,16,0,0
Дания,31.07.2020,14028,12780,615,64,53,0
ЮАР,23.07.2020,408052,236260,6093,13104,7085,153
Зимбабве,27.05.2020,132,25,4,76,0,0
Словения,11.08.2020,2272,1960,129,17,0,1
Габон,11.01.2021,9740,9549,66,46,51,0
ДР Конго,07.12.2020,13595,12059,344,68,112,0
Южный Судан,09.09.2020,2555,1290,49,3,0,0
Нидерланды,25.01.2021,966194,12510,13686,4041,82,40
Республика Конго,24.06.2020,1087,456,37,0,0,0
Южная Корея,22.09.2020,23216,20650,388,110,209,0
Ботсвана,17.05.2020,25,17,1,1,0,0
Йемен,11.05.2020,56,1,9,5,0,1
Таджикистан,19.07.2020,6878,5578,57,44,49,0
Северная Македония,21.08.2020,13308,9977,557,114,225,3
Китай,13.10.2020,91388,86196,4746,29,17,0
Малави,05.05.2020,41,9,3,0,0,0
Бразилия,02.09.2020,3997865,3387309,123780,46934,42069,1184
Бурунди,24.03.2020,0,0,0,0,0,0
Катар,02.02.2020,0,0,0,0,0,0
Папуа — Новая Гвинея,24.08.2020,401,232,4,0,0,0
Доминиканская Республика,26.06.2020,29764,16357,712,623,134,14
Сан-Марино,27.05.2020,667,294,42,1,19,0
Ямайка,11.03.2020,1,0,0,1,0,0
Австрия,16.12.2020,330343,291042,4764,2664,3292,116
Армения,25.12.2020,156763,137815,2733,621,1049,19
Непал,17.05.2020,295,36,2,4,0,1
Саудовская Аравия,03.06.2020,91182,68159,579,2171,2369,30
Италия,12.12.2020,1825775,1076891,64036,19902,24728,649
Кения,16.11.2020,70804,46244,1287,559,478,18
Гаити,20.02.2020,0,0,0,0,0,0
Белиз,01.07.2020,28,18,2,4,0,0
Суринам,12.04.2020,10,4,1,0,0,0
Ливия,09.05.2020,64,24,3,0,0,0
Мозамбик,18.02.2020,0,0,0,0,0,0
Никарагуа,21.05.2020,279,199,17,25,0,0
Сальвадор,23.03.2020,3,0,0,0,0,0
Панама,28.08.2020,90624,64602,1966,642,606,18
Коста-Рика,09.01.2021,177614,136083,2305,0,0,0
Сомали,13.05.2020,1219,130,52,49,4,0
Канада,17.02.2020,8,1,0,1,0,0
Эритрея,01.09.2020,319,284,0,0,0,0
Румыния,22.09.2020,114648,92169,4503,1059,1520,45
Багамские острова,09.11.2020,6964,4943,154,17,1,2
Аргентина,12.06.2020,28764,8743,785,1391,411,20
Ирак,27.07.2020,112585,77144,4458,2553,1927,96
Израиль,19.06.2020,20517,15701,307,310,47,1
Турция,26.12.2020,2133373,1994034,19624,15118,23231,253
Швеция,27.09.2020,90923,0,5880,0,0,0
Ирландия,18.03.2020,292,5,2,69,0,0
Великобритания,11.05.2020,215500,1015,31655,3589,13,188
Финляндия,06.01.2021,37549,31000,576,331,0,0
Мальта,05.08.2020,926,668,9,36,2,0
Антигуа и Барбуда,08.02.2020,0,0,0,0,0,0
Самоа,18.04.2020,0,0,0,0,0,0
Гватемала,02.06.2020,5586,824,123,250,29,7
Тунис,31.03.2020,394,3,10,82,0,2
Кабо-Верде,12.07.2020,1623,748,19,0,0,0
Экваториальная Гвинея,20.04.2020,79,7,0,0,3,0
Оман,27.12.2020,128472,120976,1495,182,535,4
Гвинея,22.05.2020,3067,1575,19,0,0,1
Молдавия,22.05.2020,6847,3369,237,143,416,4
Marshall Islands,26.12.2020,4,4,0,0,0,0
Япония,03.07.2020,19185,16721,977,130,106,0
Бенин,22.05.2020,135,61,3,0,0,0
Сан-Томе и Принсипи,22.07.2020,747,601,14,1,13,0
Кот-д’Ивуар,11.11.2020,20855,20572,127,8,26,1
Вьетнам,27.09.2020,1074,999,35,5,0,0
Польша,29.09.2020,89962,68955,2483,1326,535,36
Греция,16.04.2020,2207,269,105,15,0,3
Малайзия,05.12.2020,71359,60204,380,1123,1143,4
Азербайджан,07.07.2020,21374,12635,265,537,453,7
Чили,21.07.2020,334683,306816,8677,1654,2824,44
Никарагуа,02.12.2020,5838,4225,161,0,0,0
Мозамбик,31.12.2020,18642,16663,166,157,74,1
Коста-Рика,21.02.2020,0,0,0,0,0,0
Бангладеш,25.07.2020,221178,122090,2874,2520,1114,38
Аргентина,24.12.2020,1563865,1384277,42314,0,0,0
Багамские острова,26.04.2020,80,22,11,2,7,0
Филиппины,10.09.2020,248947,186058,4066,3804,515,80
Бруней,01.05.2020,138,124,1,0,0,0
ЦАР,28.08.2020,4700,1784,61,2,2,0
Финляндия,24.02.2020,1,1,0,0,0,0
Восточный Тимор,16.09.2020,27,26,0,0,0,0
Антигуа и Барбуда,15.08.2020,93,83,3,0,0,0
Самоа,01.11.2020,0,0,0,0,0,0
Сенегал,10.09.2020,14150,10207,293,48,31,0
Экваториальная Гвинея,26.10.2020,5079,4962,83,0,0,0
Сент-Винсент и Гренадины,24.09.2020,64,64,0,0,0,0
Гватемала,06.12.2020,125550,114315,4250,198,445,11
Андорра,02.09.2020,1199,909,53,15,1,0
Босния и Герцеговина,25.07.2020,9767,4555,280,0,0,0
Молдавия,27.11.2020,104140,91797,2250,1246,1312,21
Боливия,25.07.2020,68281,20951,2535,1825,337,62
Оман,13.06.2020,22077,7530,99,1006,41,3
Бенин,27.11.2020,2974,2579,43,0,0,0
Сингапур,23.10.2020,57951,57832,28,10,3,0
Руанда,02.03.2020,0,0,0,0,0,0
Лесото,19.11.2020,2065,1273,44,7,0,0
Marshall Islands,14.06.2020,0,0,0,0,0,0
Сербия,24.08.2020,30714,0,701,57,0,3
Иран,20.10.2020,539670,434676,31034,5039,3316,322
Россия,29.01.2020,0,0,0,0,0,0
Кот-д’Ивуар,06.05.2020,1516,721,18,52,20,0
Малайзия,30.05.2020,7762,6330,115,30,95,0
Чад,18.03.2020,0,0,0,0,0,0
Куба,11.10.2020,5978,5540,123,30,100,0
Швейцария,26.08.2020,40645,34800,2003,383,400,1
Литва,24.10.2020,9578,4015,129,474,37,3
Эстония,30.03.2020,715,20,3,36,0,0
Беларусь,12.07.2020,64932,55380,464,165,461,5
Перу,21.05.2020,108769,43587,3148,4749,1619,124
Габон,23.02.2020,0,0,0,0,0,0
Словения,27.01.2020,0,0,0,0,0,0
Дания,26.01.2020,0,0,0,0,0,0
Латвия,28.02.2020,0,0,0,0,0,0
Ливан,24.01.2021,279597,165729,2320,3010,1381,50
Зимбабве,08.12.2020,10912,9062,303,73,90,9
Буркина-Фасо,05.04.2020,345,90,17,27,24,1
Гайана,21.08.2020,881,433,30,35,34,1
Гана,03.04.2020,205,31,5,1,0,0
Сирия,26.08.2020,2440,550,98,75,17,3
ДР Конго,01.06.2020,3195,454,72,125,6,0
Люксембург,13.10.2020,9840,7900,133,109,0,0
Мавритания,14.05.2020,20,7,2,5,1,0
Монако,06.07.2020,108,95,4,0,0,0
Северная Македония,06.02.2020,0,0,0,0,0,0
Ботсвана,20.11.2020,9594,7296,31,0,0,0
Йемен,22.11.2020,2069,1378,604,0,0,0
Уганда,02.09.2020,3112,1528,32,75,39,0
Судно "MS Zaandam",22.03.2020,0,0,0,0,0,0
Катар,09.08.2020,112947,109709,184,297,271,2
Сан-Марино,08.12.2020,1800,1438,48,0,0,0
Пакистан,16.07.2020,257914,178737,5426,0,0,0
Кения,05.05.2020,535,182,24,45,9,0
Лихтенштейн,29.08.2020,107,97,1,1,1,0
Гаити,10.01.2021,10241,8768,237,0,0,0
Армения,11.06.2020,14669,5466,245,566,240,18
Австрия,04.06.2020,16805,15717,670,34,45,0
Непал,20.11.2020,216965,191002,1298,1945,5364,22
Ливия,12.11.2020,71804,42703,985,919,605,15
Саудовская Аравия,17.12.2020,360516,351365,6091,181,173,11
Грузия,08.07.2020,963,841,15,5,3,0
Боливия,07.02.2020,0,0,0,0,0,0
Оман,01.12.2020,123908,115441,1430,209,225,7
Афганистан,19.03.2020,25,1,0,1,0,0
Молдавия,17.06.2020,12732,7077,433,478,176,10
Босния и Герцеговина,07.02.2020,0,0,0,0,0,0
Гватемала,08.06.2020,7502,1323,267,447,62,15
Экваториальная Гвинея,16.05.2020,594,22,7,0,0,0
Кабо-Верде,02.07.2020,1301,629,15,34,0,0
Тунис,25.03.2020,173,2,5,59,1,1
Египет,22.05.2020,15786,4374,707,783,157,11
Малайзия,15.12.2020,86618,71681,422,1772,1084,3
Вьетнам,23.10.2020,1148,1049,35,0,0,0
Кот-д’Ивуар,05.11.2020,20789,20466,126,11,19,0
Чили,16.08.2020,385946,358828,10452,2044,1877,57
Азербайджан,27.06.2020,15890,8719,193,521,355,6
Marshall Islands,30.11.2020,4,1,0,0,0,0
Сан-Томе и Принсипи,17.08.2020,885,821,15,0,3,0
Ангола,28.04.2020,27,6,2,0,0,0
Польша,15.11.2020,712972,294783,10348,21854,12568,303
Бенин,17.06.2020,572,237,9,40,1,0
Багамские острова,15.11.2020,7186,5323,156,23,41,1
Панама,17.12.2020,203295,168238,3481,3348,1638,42
Эритрея,07.09.2020,330,295,0,0,0,0
Румыния,27.08.2020,83150,36677,3459,1504,391,38
Аргентина,21.05.2020,9931,3032,416,648,99,13
Бангладеш,07.02.2020,0,0,0,0,0,0
Канада,02.02.2020,4,0,0,0,0,0
Коста-Рика,19.01.2021,186877,144030,2477,861,1785,19
Замбия,04.06.2020,1089,912,7,0,0,0
Никарагуа,12.06.2020,1464,953,55,0,0,0
Мозамбик,11.03.2020,0,0,0,0,0,0
Сальвадор,02.04.2020,41,0,2,9,0,1
Мадагаскар,11.06.2020,1203,312,10,41,16,0
Ирландия,09.04.2020,6574,25,263,500,0,28
Турция,04.09.2020,276555,249108,6564,1612,1021,53
Самоа,10.05.2020,0,0,0,0,0,0
Финляндия,16.01.2021,40101,31000,618,190,0,0
Ирак,18.08.2020,184709,131840,6036,4576,2895,82
Мальта,25.01.2021,16861,13976,253,203,175,2
Швеция,17.11.2020,192439,0,6164,15084,0,0
Черногория,21.05.2020,324,314,9,0,2,0
Израиль,15.07.2020,44539,19922,397,1877,360,6
Катар,23.01.2020,0,0,0,0,0,0
Бурунди,03.04.2020,3,0,0,0,0,0
Бразилия,08.09.2020,4162073,3572421,127464,14279,23220,504
Португалия,06.06.2020,34351,20807,1474,382,281,9
Папуа — Новая Гвинея,15.09.2020,511,232,6,0,0,0
Йемен,19.04.2020,1,0,0,0,0,0
Ботсвана,21.04.2020,20,0,1,0,0,0
Китай,07.10.2020,91210,86074,4746,22,23,0
Северная Македония,26.07.2020,10086,5427,460,152,70,0
Таджикистан,23.06.2020,5567,4109,52,54,70,0
Ямайка,26.01.2020,0,0,0,0,0,0
Армения,03.12.2020,138508,113228,2254,1277,1433,26
Австрия,10.12.2020,313688,269665,4163,2686,3850,107
Непал,21.04.2020,43,4,0,12,0,0
Саудовская Аравия,28.05.2020,80185,54553,441,1644,3531,16
Белиз,11.07.2020,37,20,2,0,0,0
Гаити,01.03.2020,0,0,0,0,0,0
Суринам,21.03.2020,4,0,0,0,0,0
Кения,06.11.2020,60704,40131,1093,1109,938,21
Ливия,29.04.2020,61,18,2,0,0,0
Доминиканская Республика,18.07.2020,51519,24607,971,1406,184,29
Сан-Марино,06.06.2020,680,428,42,0,0,0
Италия,25.08.2020,261174,206015,35445,876,353,4
Намибия,28.09.2020,11121,8787,121,88,11,1
Венгрия,12.10.2020,38837,11037,968,1173,189,14
Перу,24.12.2020,1000153,938341,37218,0,2159,0
Южный Судан,30.08.2020,2519,1290,47,0,0,0
ДР Конго,13.12.2020,14461,12465,352,119,0,0
Республика Конго,20.07.2020,2851,666,50,218,40,1
Южная Корея,27.08.2020,19077,14551,316,371,90,3
Нидерланды,05.08.2020,56750,207,6173,471,0,3
ЮАР,14.08.2020,579140,461734,11556,6275,24117,286
Дания,06.08.2020,14586,12993,617,146,35,1
Ливан,16.02.2020,0,0,0,0,0,0
Тринидад и Тобаго,05.07.2020,133,115,8,3,0,0
Габон,17.01.2021,9899,9658,66,0,0,0
Словения,05.08.2020,2208,1884,124,18,30,1
Зимбабве,06.06.2020,279,33,4,14,0,0
Австралия,25.06.2020,7595,6958,104,37,27,0
Micronesia,19.01.2021,0,0,0,0,0,0
Венесуэла,15.04.2020,197,111,9,8,1,0
Албания,06.12.2020,42988,21617,905,840,331,16
Сьерра-Леоне,09.01.2021,2803,1979,77,21,3,0
Эфиопия,06.12.2020,113295,80831,1747,555,1252,2
Сент-Китс и Невис,20.11.2020,19,19,0,0,0,0
Фиджи,27.11.2020,38,33,2,0,0,0
Мальдивы,23.07.2020,3120,2428,15,17,31,0
Иордания,15.11.2020,143678,10067,1772,2373,188,68
Нидерланды,06.05.2020,41518,146,5221,232,7,36
Бельгия,30.10.2020,412314,24906,11452,20056,463,144
ОАЭ,06.12.2020,176429,159132,592,1153,634,3
Казахстан,05.03.2020,0,0,0,0,0,0
Мексика,05.05.2020,26025,16810,2507,1120,3363,236
Мали,04.06.2020,1461,806,85,75,18,6
Португалия,27.06.2020,41189,26864,1561,323,231,6
Малави,24.01.2021,19395,6699,508,956,179,38
Коморские острова,08.04.2020,0,0,0,0,0,0
Ямайка,14.11.2020,9780,5228,229,57,60,2
Барбадос,15.04.2020,73,15,5,1,2,1
Новая Зеландия,27.09.2020,1833,1753,25,0,4,0
Испания,08.04.2020,148220,48021,14792,6278,4813,747
Нигер,03.10.2020,1200,1115,69,2,0,0
Того,17.10.2020,2049,1517,51,22,17,0
Индия,09.08.2020,2215074,1535743,44386,62064,54859,1007
Италия,08.04.2020,139422,26491,17669,3836,2099,542
Кипр,10.01.2021,27350,2057,148,339,0,1
Сомали,16.01.2021,4744,3666,130,0,0,0
Парагвай,30.05.2020,964,466,11,47,53,0
Эсватини,09.07.2020,1213,609,17,75,21,3
Гондурас,03.05.2020,1055,118,82,45,2,6
Германия,21.09.2020,275560,242656,9390,1595,1464,0
Замбия,29.06.2020,1568,1311,22,11,0,0
Канада,07.11.2020,263221,216338,10593,4346,1897,47
Доминика,21.11.2020,72,55,0,4,14,0
Мадагаскар,22.06.2020,1640,692,15,44,37,1
Украина,29.06.2020,44538,19679,1161,682,94,19
Турция,06.04.2020,30217,1326,649,3148,284,75
Камерун,08.03.2020,2,0,0,1,0,0
Судан,30.05.2020,4521,1272,262,175,456,29
Бахрейн,25.07.2020,38747,35205,137,289,379,1
Великобритания,14.01.2021,3269757,7580,86163,48804,150,1253
Джибути,19.04.2020,846,102,2,114,26,0
Маврикий,26.01.2021,568,525,10,0,0,0
Гренада,19.05.2020,22,14,0,0,0,0
Швеция,23.01.2020,0,0,0,0,0,0
Черногория,13.07.2020,1287,330,24,66,5,1
Либерия,27.08.2020,1298,832,82,0,0,0
Вануату,02.09.2020,0,0,0,0,0,0
Афганистан,22.09.2020,39096,32576,1447,22,0,1
Монголия,22.05.2020,141,28,0,1,2,0
Эквадор,01.05.2020,26336,1913,1063,1402,355,163
Сейшельские острова,22.03.2020,7,0,0,0,0,0
Египет,20.07.2020,88402,28924,4352,627,544,50
Уругвай,05.02.2020,0,0,0,0,0,0
Нигерия,25.05.2020,8068,2311,233,229,48,7
Гвинея-Бисау,31.10.2020,2413,1818,41,10,0,0
Папский Престол,08.02.2020,0,0,0,0,0,0
Алжир,27.11.2020,80168,51946,2372,1058,612,20
Ангола,13.08.2020,1815,577,80,53,0,0
Польша,25.01.2020,0,0,0,0,0,0
Греция,05.01.2021,141453,93764,5051,927,0,40
Мавритания,28.07.2020,6249,4683,156,41,30,0
Монако,28.05.2020,98,90,4,0,0,0
Хорватия,10.09.2020,12917,10142,208,291,309,2
Уганда,31.03.2020,44,0,0,11,0,0
Мали,10.12.2020,5576,3502,184,107,48,3
Казахстан,06.01.2021,205933,180364,2781,869,987,6
Мексика,06.11.2020,955128,812556,94323,5931,3493,551
Индия,23.01.2020,0,0,0,0,0,0
Болгария,19.06.2020,3755,2008,193,81,67,3
Западный берег реки Иордан,22.08.2020,18476,11103,125,163,1,3
Судно "Diamond Princess",24.09.2020,712,651,13,0,0,0
Лаос,16.03.2020,0,0,0,0,0,0
Барбадос,29.01.2021,1498,1123,12,21,25,1
Грузия,26.05.2020,732,537,12,1,11,0
Индонезия,06.07.2020,64958,29919,3241,1209,814,70
Шри-Ланка,28.08.2020,2989,2842,12,3,12,0
Фиджи,17.06.2020,18,18,0,0,0,0
Танзания,25.03.2020,12,0,0,0,0,0
Сьерра-Леоне,02.03.2020,0,0,0,0,0,0
Эфиопия,08.06.2020,2156,361,27,136,17,0
Сент-Китс и Невис,21.04.2020,15,0,0,0,0,0
Албания,08.06.2020,1263,945,34,17,7,0
Венесуэла,29.01.2021,125776,117867,1177,412,420,6
Micronesia,21.02.2020,0,0,0,0,0,0
Бельгия,12.05.2020,53779,13732,8761,330,35,54
ОАЭ,08.06.2020,39376,22275,281,568,469,5
Латвия,04.10.2020,2086,1307,38,67,0,0
Чехия,03.04.2020,4091,72,53,233,5,9
Гайана,20.04.2020,65,9,7,0,0,0
Иордания,26.04.2020,447,337,7,3,5,0
Мальдивы,09.02.2020,0,0,0,0,0,0
Люксембург,27.02.2020,0,0,0,0,0,0
Эквадор,10.11.2020,175711,154956,12849,442,0,10
Словакия,16.03.2020,63,0,0,9,0,0
Монголия,23.12.2020,1069,584,0,6,43,0
Алжир,17.06.2020,11268,7943,799,121,101,11
Исландия,21.10.2020,4230,3013,11,37,83,0
Руанда,01.10.2020,4843,3181,29,3,27,0
Папский Престол,24.07.2020,12,12,0,0,0,0
Сербия,09.04.2020,2867,0,66,201,0,1
Нигерия,20.12.2020,78434,68303,1221,501,519,3
Соломоновы острова,08.07.2020,0,0,0,0,0,0
Россия,03.11.2020,1661096,1244012,28611,18431,15091,347
Гвинея-Бисау,11.05.2020,761,26,3,35,0,0
Норвегия,15.08.2020,9965,8857,261,57,0,0
Камбоджа,13.04.2020,122,77,0,0,0,0
США,26.08.2020,5820908,2084465,180059,45290,30766,1227
Уругвай,27.07.2020,1202,951,35,10,3,1
Сент-Люсия,23.09.2020,27,26,0,0,0,0
Доминика,20.04.2020,16,8,0,0,0,0
Гондурас,08.11.2020,100041,42815,2745,0,0,0
Бутан,19.03.2020,1,0,0,0,0,0
Парагвай,15.12.2020,95353,67953,1991,1130,711,20
Марокко,11.07.2020,15542,12065,245,214,238,2
Кувейт,20.01.2021,159264,152420,951,442,484,1
Кипр,01.03.2020,0,0,0,0,0,0
Таиланд,29.03.2020,1388,111,7,143,11,1
Джибути,22.11.2020,5668,5555,61,7,3,0
Маврикий,14.02.2020,0,0,0,0,0,0
Гренада,26.12.2020,112,57,0,0,0,0
Бруней,10.08.2020,142,138,3,0,0,0
Франция,25.03.2020,25334,3907,1333,2962,657,231
Колумбия,22.10.2020,990373,893810,29637,8673,8915,173
Киргизия,11.08.2020,40455,32734,1478,370,608,4
Камерун,03.01.2021,26848,24892,448,0,0,0
Судан,15.12.2020,22082,12667,1372,218,215,17
Бахрейн,07.02.2020,0,0,0,0,0,0
Косово и Метохия,16.09.2020,14839,11949,604,76,165,3
Афганистан,08.12.2020,47716,37920,1906,200,41,6
Сейшельские острова,13.04.2020,11,0,0,0,0,0
Вануату,08.09.2020,0,0,0,0,0,0
Либерия,22.09.2020,1336,1218,82,0,0,0
Гвинея,20.07.2020,6590,5591,40,46,80,1
Эквадор,07.05.2020,30298,3433,1654,-1583,0,36
Монголия,17.06.2020,201,127,0,4,16,0
Алжир,23.12.2020,96549,64401,2696,480,381,9
Япония,08.06.2020,17060,15043,920,21,53,3
Ангола,01.01.2021,17568,11146,405,15,102,0
Польша,12.03.2020,49,0,1,18,0,1
Норвегия,08.02.2020,0,0,0,0,0,0
Греция,17.08.2020,7222,3804,230,147,0,2
Гвинея-Бисау,22.11.2020,2421,2286,43,0,0,0
Нигерия,16.06.2020,17148,5623,455,490,274,31
Бутан,30.01.2021,858,782,1,0,2,0
Германия,26.08.2020,239010,211691,9285,1427,1358,4
Гондурас,27.04.2020,661,79,61,34,14,2
Украина,05.07.2020,49468,22131,1265,840,224,22
Панама,13.04.2020,3400,29,87,166,6,8
Сомали,21.07.2020,3135,1464,93,5,2,0
Доминика,26.10.2020,38,29,0,0,0,0
Канада,23.10.2020,214519,180626,10004,2902,7327,27
Кипр,20.01.2021,29472,2057,176,178,0,0
Эсватини,03.07.2020,909,515,13,36,63,2
Парагвай,09.06.2020,1187,604,11,42,1,0
Киргизия,27.01.2020,0,0,0,0,0,0
Гренада,14.06.2020,23,22,0,0,0,0
Маврикий,04.01.2021,531,513,10,4,17,0
Джибути,11.05.2020,1227,872,3,17,25,0
Бахрейн,20.08.2020,48303,44628,179,353,350,1
Камерун,15.02.2020,0,0,0,0,0,0
Судан,09.06.2020,6242,2127,389,161,68,17
Швеция,14.03.2020,994,0,5,71,0,2
Великобритания,23.07.2020,298731,1425,41141,779,9,9
Мальта,06.05.2020,484,407,5,2,4,0
Мали,29.05.2020,1226,669,73,32,17,1
Малави,29.07.2020,3738,1728,103,29,61,0
Мексика,25.04.2020,13842,7149,1305,970,4522,84
Казахстан,24.02.2020,0,0,0,0,0,0
Ямайка,30.09.2020,6482,1867,107,74,97,6
Индия,30.07.2020,1634746,1055348,35718,52783,35613,763
Того,25.09.2020,1722,1312,44,15,5,0
Коморские острова,17.03.2020,0,0,0,0,0,0
Нигер,09.10.2020,1201,1123,69,0,1,0
Барбадос,20.03.2020,5,0,0,0,0,0
Новая Зеландия,23.10.2020,1934,1835,25,11,3,0
Испания,17.03.2020,11748,1028,533,1806,498,191
Фиджи,23.12.2020,46,44,2,0,0,0
Гамбия,23.05.2020,25,13,1,0,0,0
Micronesia,09.01.2021,0,0,0,0,0,0
Австралия,17.07.2020,11441,8162,118,208,48,2
Венесуэла,20.03.2020,42,0,0,0,0,0
Сент-Китс и Невис,25.10.2020,19,19,0,0,0,0
Сьерра-Леоне,19.01.2021,3030,2109,77,16,2,0
Эфиопия,12.12.2020,116297,92449,1803,515,1240,12
Албания,12.12.2020,47742,24520,989,879,384,12
Бельгия,25.11.2020,564967,0,16077,3164,0,139
ОАЭ,12.12.2020,183755,163048,609,1154,613,2
Мальдивы,14.08.2020,5572,3010,22,78,90,1
Иордания,09.11.2020,114986,9033,1295,5665,225,62
Марокко,01.07.2020,12636,9026,228,103,106,0
Парагвай,05.12.2020,87213,61283,1833,714,639,20
Кипр,20.02.2020,0,0,0,0,0,0
Узбекистан,15.06.2020,5263,4019,19,183,76,0
Доминика,16.05.2020,16,15,0,0,0,0
Сент-Люсия,19.10.2020,36,27,0,3,0,0
Кувейт,25.07.2020,63309,53607,429,684,692,4
Бутан,14.04.2020,5,2,0,0,0,0
Гондурас,14.11.2020,102555,44551,2822,476,315,2
Бруней,04.01.2021,172,149,3,0,0,0
Косово и Метохия,25.08.2020,12683,8788,488,136,131,8
Камерун,25.01.2021,29617,28045,462,0,0,0
Гренада,30.11.2020,41,30,0,0,0,0
Маврикий,07.03.2020,0,0,0,0,0,0
Судан,05.12.2020,19468,10942,1290,272,270,19
Джибути,31.10.2020,5561,5441,61,2,4,0
Таиланд,04.04.2020,2067,612,20,89,31,1
Киргизия,05.08.2020,38110,29513,1438,569,770,11
Колумбия,30.09.2020,829679,743653,25998,5637,9499,170
Франция,31.03.2020,52278,9513,3526,7629,1549,500
Монголия,27.11.2020,760,347,0,22,0,0
Словакия,11.04.2020,728,23,2,13,0,0
Эквадор,04.11.2020,171433,149048,12704,1323,0,6
Гвинея-Бисау,19.04.2020,50,3,0,4,3,0
Лесото,29.02.2020,0,0,0,0,0,0
Руанда,21.11.2020,5620,5163,46,34,4,0
Нигерия,28.11.2020,67330,62819,1171,110,133,0
Соломоновы острова,28.06.2020,0,0,0,0,0,0
Уругвай,18.08.2020,1485,1219,40,28,14,0
США,21.09.2020,6860061,2615949,200282,51914,25278,427
Камбоджа,22.03.2020,84,1,0,31,0,0
Норвегия,24.07.2020,9092,8674,255,7,0,0
Папский Престол,15.08.2020,12,12,0,0,0,0
Исландия,29.09.2020,2695,2162,10,32,1,0
Алжир,22.05.2020,7918,4256,582,190,194,7
Россия,19.10.2020,1406667,1070920,24205,15843,5312,166
Албания,02.06.2020,1164,891,33,21,14,0
Сент-Китс и Невис,17.05.2020,15,14,0,0,0,0
Сьерра-Леоне,21.02.2020,0,0,0,0,0,0
Эфиопия,02.06.2020,1344,231,14,87,14,2
Мьянма,23.05.2020,201,120,6,2,4,0
Micronesia,02.03.2020,0,0,0,0,0,0
Шри-Ланка,19.09.2020,3283,3070,13,2,10,0
Индонезия,30.06.2020,56385,24806,2876,1293,1006,71
Танзания,31.03.2020,19,1,1,0,0,1
Фиджи,22.05.2020,18,15,0,0,0,0
Иордания,02.05.2020,460,367,9,1,3,1
Латвия,18.11.2020,11356,1557,137,442,0,5
Люксембург,08.02.2020,0,0,0,0,0,0
Бельгия,16.04.2020,34809,7562,4857,1236,455,417
ОАЭ,02.06.2020,35788,18726,269,596,388,3
Чехия,24.03.2020,1394,10,3,158,4,2
Мавритания,17.01.2021,16039,14504,402,40,73,1
Мексика,16.11.2020,1009396,754200,98861,2874,4010,319
